Локализация опухоли;ФО;Область;Леч_законч;Леч_зак_%_от_нов;Леч_продолж;Леч_прод_%_от_нов;Метод_хир;Метод_луч;Метод_лек;Метод_ком;Метод_хим
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Белгородская область;3;11.1;22;81.5;66.7;0.0;33.3;0.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Брянская область;23;63.9;9;25.0;21.7;0.0;60.9;8.7;8.7
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Владимирская область;2;14.3;12;85.7;50.0;0.0;0.0;50.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Воронежская область;5;33.3;10;66.7;0.0;0.0;80.0;20.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Ивановская область;9;42.9;2;9.5;22.2;0.0;55.6;22.2;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Тверская область;10;45.5;5;22.7;10.0;0.0;40.0;50.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Калужская область;5;35.7;2;14.3;60.0;0.0;20.0;20.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Костромская область;2;20.0;6;60.0;50.0;0.0;0.0;50.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Курская область;35;92.1;0;0.0;11.4;0.0;48.6;40.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Липецкая область;17;63.0;8;29.6;29.4;0.0;35.3;35.3;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Москва;42;19.8;108;50.9;45.2;16.7;9.5;26.2;2.4
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Московская область;43;37.7;62;54.4;18.6;2.3;41.9;37.2;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Орловская область;3;30.0;4;40.0;66.7;0.0;33.3;0.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Рязанская область;12;80.0;1;6.7;25.0;0.0;33.3;41.7;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Смоленская область;10;76.9;2;15.4;40.0;0.0;50.0;10.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Тамбовская область;19;76.0;6;24.0;26.3;0.0;42.1;31.6;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Тульская область;22;73.3;3;10.0;22.7;0.0;54.5;22.7;0.0
У детей в возрасте 0-14 лет (С00-96);ЦЕНТРАЛЬНЫЙ ФО;Ярославская область;28;71.8;2;5.1;25.0;0.0;25.0;46.4;3.6
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Архангельская область;14;60.9;8;34.8;28.6;0.0;50.0;21.4;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Вологодская область;20;64.5;10;32.3;10.0;0.0;60.0;30.0;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Калининградская область;5;33.3;7;46.7;60.0;0.0;20.0;0.0;20.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Санкт-Петербург;21;19.4;70;64.8;52.4;19.0;0.0;28.6;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Ленинградская область;10;66.7;4;26.7;30.0;0.0;50.0;20.0;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Мурманская область;6;27.3;15;68.2;16.7;0.0;0.0;83.3;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Новгородская область;0;0.0;5;41.7;0.0;0.0;0.0;0.0;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Псковская область;0;0.0;7;50.0;0.0;0.0;0.0;0.0;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Республика Карелия;8;57.1;6;42.9;12.5;0.0;75.0;12.5;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-ЗАПАДНЫЙ ФО;Республика Коми;23;67.6;7;20.6;17.4;0.0;69.6;13.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЮЖНЫЙ ФО;Краснодарский край;71;73.2;4;4.1;9.9;0.0;67.6;22.5;0.0
У детей в возрасте 0-14 лет (С00-96);ЮЖНЫЙ ФО;Астраханская область;8;30.8;11;42.3;12.5;0.0;12.5;75.0;0.0
У детей в возрасте 0-14 лет (С00-96);ЮЖНЫЙ ФО;Волгоградская область;27;50.0;27;50.0;44.4;0.0;3.7;51.9;0.0
У детей в возрасте 0-14 лет (С00-96);ЮЖНЫЙ ФО;Ростовская область;21;34.4;33;54.1;33.3;0.0;42.9;19.0;4.8
У детей в возрасте 0-14 лет (С00-96);ЮЖНЫЙ ФО;Республика Крым;3;6.8;14;31.8;0.0;0.0;66.7;33.3;0.0
У детей в возрасте 0-14 лет (С00-96);ЮЖНЫЙ ФО;Севастополь;6;46.2;2;15.4;16.7;0.0;50.0;0.0;33.3
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-КАВКАЗСКИЙ ФО;Ставропольский край;3;6.0;35;70.0;33.3;0.0;33.3;33.3;0.0
У детей в возрасте 0-14 лет (С00-96);СЕВЕРО-КАВКАЗСКИЙ ФО;Республика Ингушетия;11;84.6;0;0.0;0.0;0.0;72.7;27.3;0.0
