ФО;Область;Отказы_от_лечения_абс_ЗНО;Отказы_от_лечения_%_ЗНО;Отказы_от_лечения_1-2_абс;Отказы_от_лечения_1-2_%;Против_к_леч_абс_ЗНО;Против_к_леч_%_ЗНО;Против_к_леч_1-2_абс;Против_к_леч_1-2_%;ЗНО_леч_амбул_абс;ЗНО_леч_амбул_%;Законч_леч_лек_абс;Законч_леч_лек_гемобл;Законч_леч_луч_абс;Число_больных_лек_под_абс;Число_больных_лек_пол_абс;Число_больных_лек_пол_%;Число_больных_луч_под_абс;Число_больных_луч_пол_абс;Число_больных_луч_пол_%;Число_больных_ком_под_абс;Число_больных_ком_пол_абс;Число_больных_ком_пол_%
ЦЕНТРАЛЬНЫЙ ФО;Белгородская область;90;1.3;30;33.3;132;1.9;22;16.7;713;18;4560;461;1991;4631;4560;98.5;2044;1991;97.4;2437;2394;98.2
ЦЕНТРАЛЬНЫЙ ФО;Брянская область;20;0.4;9;45;97;1.7;12;12.4;515;19.3;5700;444;1420;5716;5700;99.7;1438;1420;98.7;1587;1570;98.9
ЦЕНТРАЛЬНЫЙ ФО;Владимирская область;107;1.9;71;66.4;245;4.5;100;40.8;304;10.6;6949;276;1257;7443;6949;93.4;1347;1257;93.3;3187;2270;71.2
ЦЕНТРАЛЬНЫЙ ФО;Воронежская область;111;1.2;41;36.9;335;3.7;82;24.5;648;12.2;9839;1024;2637;9896;9839;99.4;2653;2637;99.4;3912;3878;99.1
ЦЕНТРАЛЬНЫЙ ФО;Ивановская область;43;0.9;26;60.5;118;2.6;25;21.2;230;10;5051;328;1462;5103;5051;99;1478;1462;98.9;3373;3341;99.1
ЦЕНТРАЛЬНЫЙ ФО;Тверская область;79;1.5;38;48.1;331;6.1;139;42;347;12.5;4174;467;1042;4243;4174;98.4;1069;1042;97.5;1552;1481;95.4
ЦЕНТРАЛЬНЫЙ ФО;Калужская область;11;0.3;7;63.6;45;1;18;40;62;3;2060;203;849;3088;2060;66.7;849;849;100;570;570;100
ЦЕНТРАЛЬНЫЙ ФО;Костромская область;20;0.8;4;20;25;1;3;12;19;1.8;1550;33;512;1584;1550;97.9;528;512;97;483;472;97.7
ЦЕНТРАЛЬНЫЙ ФО;Курская область;35;0.7;6;17.1;29;0.6;6;20.7;760;20;3710;304;2026;3749;3710;99;2051;2026;98.8;5794;5730;98.9
ЦЕНТРАЛЬНЫЙ ФО;Липецкая область;30;0.6;21;70;132;2.8;60;45.5;271;11.1;5473;561;2138;5636;5473;97.1;2317;2138;92.3;2872;2731;95.1
ЦЕНТРАЛЬНЫЙ ФО;г. Москва;672;1.9;475;70.7;4353;12.4;2853;65.5;2901;24.4;33589;3512;8211;35940;33589;93.5;8785;8211;93.5;4898;4578;93.5
ЦЕНТРАЛЬНЫЙ ФО;Московская область;263;1.1;78;29.7;659;2.7;151;22.9;839;5.9;24151;4542;4907;26946;24151;89.6;5592;4907;87.8;9845;8384;85.2
ЦЕНТРАЛЬНЫЙ ФО;Орловская область;53;1.7;39;73.6;300;9.6;106;35.3;380;24.1;2463;186;685;2733;2463;90.1;715;685;95.8;1316;1263;96
ЦЕНТРАЛЬНЫЙ ФО;Рязанская область;7;0.1;5;71.4;350;7.2;171;48.9;235;8.6;3384;314;1168;3396;3384;99.6;1175;1168;99.4;1495;1481;99.1
ЦЕНТРАЛЬНЫЙ ФО;Смоленская область;44;1.1;16;36.4;42;1;23;54.8;10;0.7;2722;192;701;2731;2722;99.7;739;701;94.9;920;916;99.6
