Отметка времени,Пол:,Ваш возраст:,К какой социальной группе Вы себя относите?,Я часто курю,Я часто употребляю алкоголь,Я часто играю в компьютерные игры ,У меня есть пищевая зависимость,Я зависим(-а) от интернета,У меня много зависимостей ,"Когда я играю за компьютером, то теряю чувство времени",Я считаю алкоголь лучшим способом справиться со стрессом,"Я продолжаю есть, даже если испытываю чувство сытости",Для меня самый простой и лучший способ расслабиться - это курение,Я сильно раздражаюсь из-за отсутствия интернета,Мне тяжело бороться со своими вредными привычками ,Я провожу за телефоном больше 5 часов в день,"На любом мероприятии (праздник, встреча с друзьями и т.д.) должен быть алкоголь","Я часто заедаю стресс, скуку","Компьютерные игры более интересны, чем реальная жизнь",Я ежедневно курю,Глупо пытаться показать свою силу воли и отказываться от различных радостей жизни,Укажите свой возраст:
11.05.2023 23:31:36,Женский,До 20 лет,Студент,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не уверен(-а),Не согласен(-а),Не согласен(-а),Не уверен(-а),Не уверен(-а),Полностью согласен(-а),Не уверен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),
11.05.2023 23:32:06,Женский,21-35 лет,Студент,Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не уверен(-а),Не уверен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не уверен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),
12.05.2023 0:06:20,Женский,21-35 лет,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не уверен(-а),Согласен(-а),Не уверен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Не уверен(-а),Не уверен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),
14.05.2023 19:20:16,Мужской,,Студент,Полностью согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Нейтрально,Нейтрально,Полностью не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Нейтрально,20
14.05.2023 19:20:16,Женский,,Студент,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),18
14.05.2023 19:24:19,Женский,,Студент,Нейтрально,Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),19
14.05.2023 19:31:30,Женский,,Студент,Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),18
14.05.2023 19:33:01,Женский,,Студент,Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),18
14.05.2023 19:53:36,Мужской,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),18
14.05.2023 19:55:35,Женский,,Студент,Полностью согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),19
